time	denver	kansas
00,00	0	0
12,13	0	6
12,13	0	7
15,00	6	7
15,00	7	7
15,00	7	13
15,07	7	14
18,58	7	20
18,58	7	21
25,39	13	21
25,39	14	21
33,00	20	21
33,00	21	21
38,07	27	21
38,07	28	21
45,40	34	21
45,40	35	21
54,03	35	27
54,03	35	28
59,59	35	28
